"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Markdown", "HTML", "JSON with Comments", "Svelte", "XML", "comment", "blank", "total"
"c:\Coding\Bachelorarbeit\HISTAR\README.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 14, 54
"c:\Coding\Bachelorarbeit\HISTAR\app.d.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Coding\Bachelorarbeit\HISTAR\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 1, 15
"c:\Coding\Bachelorarbeit\HISTAR\package-lock.json", "JSON", 0, 13715, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13716
"c:\Coding\Bachelorarbeit\HISTAR\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Coding\Bachelorarbeit\HISTAR\src\app.css", "PostCSS", 0, 0, 0, 88, 0, 0, 0, 0, 0, 2, 15, 105
"c:\Coding\Bachelorarbeit\HISTAR\src\app.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Coding\Bachelorarbeit\HISTAR\src\hooks.server.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Agent\Agent.ts", "TypeScript", 0, 0, 244, 0, 0, 0, 0, 0, 0, 38, 51, 333
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Agent\Avatar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 712, 0, 1, 113, 826
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Agent\Avatar.ts", "TypeScript", 0, 0, 107, 0, 0, 0, 0, 0, 0, 14, 9, 130
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Agent\Logic\AvatarWrapper.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 10, 97
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Agent\Logic\Misc.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Agent\Logic\Static.ts", "TypeScript", 0, 0, 302, 0, 0, 0, 0, 0, 0, 11, 30, 343
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\DANGER.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\EvalSystem.ts", "TypeScript", 0, 0, 652, 0, 0, 0, 0, 0, 0, 60, 109, 821
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Evaluation.ts", "TypeScript", 0, 0, 380, 0, 0, 0, 0, 0, 0, 5, 25, 410
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Evaluator.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 415, 0, 2, 53, 470
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Main\EvalQuestionSwitcher.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 144, 0, 1, 14, 159
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Main\StepSwitcher.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 8, 47
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Main\TaskQuestionSwitcher.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 17, 152
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Main\Template.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 112, 0, 3, 17, 132
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\Aufgabe.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 100, 0, 15, 15, 130
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\CopySessionId.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 51, 0, 16, 5, 72
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\DateDM.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 15, 91
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\DownloadReplies.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 13, 90
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\Likert.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 17, 128
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\OrangeBall.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\Progress.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\Misc\Tester.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 19, 164
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\PreProcess.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 12, 3, 17
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\StepsMisc\StepDemo.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 247, 0, 1, 19, 267
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\StepsMisc\StepInfo.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 22, 150
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\StepsMisc\StepLos.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 9, 100
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\StepsMisc\StepStart.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 99, 0, 2, 14, 115
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Evaluation\StepsMisc\StepTimer.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 6, 61
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\General.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 16, 6, 50
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Cookies\ConsentBanner.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 183, 0, 4, 16, 203
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Cookies\consent.ts", "TypeScript", 0, 0, 200, 0, 0, 0, 0, 0, 0, 1, 36, 237
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Footer\CountrySelector.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 14, 118
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Footer\EnvSwitcher.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 6, 59
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Footer\FooterFinal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 212, 0, 6, 18, 236
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Footer\Gender.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 19, 242
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Footer\Language.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 127, 0, 4, 17, 148
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Header\EvalButton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 108, 0, 4, 8, 120
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Header\Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 110, 0, 1, 8, 119
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Header\MenuButton.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 165, 0, 4, 15, 184
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\Git.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\Logic.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\Misc.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\MobileWarning.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 23, 230
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\Switch.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 8, 83
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\Techstack.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 7, 141
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\Other\Volumes.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\About.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 354, 0, 1, 24, 379
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\Cookies.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 18, 136
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\EvaluationInfo.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 10, 145
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\Impressum.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 13, 81
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\Licences.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 25, 364
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\Privacy.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 20, 118
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\System.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 14, 100
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\Terms.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 15, 77
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\about\device.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\generalStore.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 50
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Misc\sessionStore.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 17, 18, 107
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Audio\Audio.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 11, 62
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Audio\Microphone.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 20, 132
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Background\Generate.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 6, 53
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Input_Avatar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 366, 0, 3, 45, 414
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Input_Text.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 434, 0, 1, 41, 476
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Logic.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Logic\Misc.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 2, 23
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Logic\Processing.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 8, 30
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Visemes\Static.ts", "TypeScript", 0, 0, 281, 0, 0, 0, 0, 0, 0, 37, 25, 343
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Visemes\Visemize.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 7, 17, 62
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Modalities\Webcam\WebCam.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 121, 0, 1, 18, 140
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Ergebnisse\Ergebnisse.json", "JSON", 0, 3781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3781
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Ergebnisse\Tests.json", "JSON", 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 593
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\Cross.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\AVATAR.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 103, 0, 3, 9, 115
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\CorrelationsMatrix.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 9, 198
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\Order.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 99, 0, 3, 9, 111
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\CROSS\SUB\Scatter.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 79, 0, 1, 8, 88
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\Calc.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\Demographie.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 228, 0, 1, 30, 259
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\SUB\Lang.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 9, 131
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\DEMO\SUB\Stauts.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 7, 101
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\Abschlussfragen.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 3, 25
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\SUB\AVSBFINAL.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 88, 0, 1, 9, 98
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\SUB\AvatarTextFinal.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 123, 0, 2, 10, 135
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\FINAL\SUB\Interface.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 52
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\Calc.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 14, 13, 66
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\GAAIS.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 35, 0, 2, 5, 42
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISMetrics.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 4, 52
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISMetricsOverall.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 9, 77
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAIS_TEMPLATE.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 8, 115
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISxAiExp.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 11, 107
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\GAAIS\SUB\GAAISxDomFam.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 9, 97
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\Misc.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 136, 0, 7, 13, 156
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\Order.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\TIME_OF_COMPLETIONS.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 5, 72
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\TIME_TO_COMPLETIONS.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 7, 72
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\MISC\SUB\WhichBackground.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 129, 0, 4, 11, 144
"c:\Coding\Bachelorarbeit\HISTAR\src\lib\Statistics\Haupt\NASA\NASA_TLX.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 2, 13
